round,phase,agg_auroc,medical_train_loss,medical_val_loss,medical_val_auroc,medical_val_auprc,surgical_train_loss,surgical_val_loss,surgical_val_auroc,surgical_val_auprc,cardiac_train_loss,cardiac_val_loss,cardiac_val_auroc,cardiac_val_auprc
14,FINETUNE,0.9622683691140311,0.5447991598166723,0.528901924337961,0.9448908925991489,0.8223193521182728,0.3875416618119292,0.3262436601358491,0.9693823002699595,0.854025903177431,0.282674379755811,0.24007207350534143,0.9763533283505126,0.8356550210468474
15,FINETUNE,0.9627023877676539,0.536817355757266,0.5163678782703602,0.9455279479374945,0.8245838235514032,0.37672094828417513,0.32627882284892573,0.9693177059667317,0.855715483119428,0.2778581011949516,0.23979289041271487,0.9769207760453783,0.8374324721896185
16,FINETUNE,0.9627820831633771,0.5235916919083194,0.5154546703648778,0.9463274509720684,0.8265492630901261,0.3726381099953943,0.32741170124830427,0.9688174342251803,0.8557313686370354,0.2688386974538245,0.23827226467213583,0.9766216619445748,0.8366047827074126
17,FINETUNE,0.9632428766220396,0.5224432991405504,0.5272961952517518,0.9466171116290193,0.8266462936991772,0.36717796599378394,0.3246646217397741,0.968902965992213,0.8557490001935009,0.2636787301156579,0.22961436682245107,0.9775405506017046,0.8411353769623084
18,FINETUNE,0.9635204050542975,0.5160074326646539,0.5102541814599417,0.9468866078289035,0.8274336828105984,0.3584763012116864,0.3253586467456173,0.9694856511551244,0.8578870134381461,0.26232892556524856,0.23818379221031966,0.9776080866547311,0.8411799705108578
19,FINETUNE,0.9634827982414805,0.5107288930268414,0.5154226390661392,0.9470918607760982,0.8285309389134347,0.3665825099158449,0.32479199585882396,0.9690535375404272,0.8573289909993697,0.2567416090245654,0.23447972557787755,0.9775852728673816,0.8415519724254663
20,FINETUNE,0.9632888931504789,0.5087054424581274,0.5191370236926374,0.9470056842543184,0.8284109454958029,0.35808224438810027,0.3239279209157905,0.9688869287858944,0.8570148110553472,0.260224575294954,0.2323104373170334,0.9772528433945756,0.8406281324754994
21,FINETUNE,0.9634884913462001,0.5070200581927743,0.5230870899637189,0.9464439095556886,0.8272856035382867,0.3545435619648217,0.32146670447813497,0.9692862997710243,0.8586085123183168,0.25433899938333326,0.22916155829302315,0.978149823573378,0.8415746391842611
22,FINETUNE,0.9638702491495996,0.5100947373208746,0.5206471783133735,0.9473549185002172,0.8304809554079496,0.36082798724069076,0.3210405302611557,0.9694713958606188,0.8598366587042682,0.25378793310828324,0.22794156593894496,0.9780882625598952,0.8429170609306027
23,FINETUNE,0.9640215377309627,0.5051522156042335,0.5160280906521113,0.9470574750703633,0.8300638525520571,0.3553400589089815,0.3198547630092582,0.9696014754229813,0.8592855516267175,0.250210825735476,0.22687801914018335,0.9787502245166374,0.8443475197790417
